Taluka,Price t-1 vs Single_Kharif,Price t-1 vs Single_Non_Kharif,Price t-1 vs Double_Crop,Price t-1 vs Triple_Crop
Baglan,-0.022,-0.206,-0.088,0.223
Chandwad,-0.038,-0.128,0.133,-0.366
Deola,-0.313,0.034,0.165,0.126
Dindori,0.13,-0.092,-0.259,-0.439
Igatpuri,0.148,-0.108,-0.31,-0.1
Kalvan,0.251,-0.123,-0.311,-0.191
Malegaon,0.114,-0.21,0.093,-0.183
Nandgaon,0.197,-0.198,0.11,-0.009
Nashik,-0.013,-0.06,-0.033,-0.403
Niphad,-0.056,-0.126,0.274,-0.535
Peith,0.67,-0.051,-0.606,0.151
Sinnar,-0.16,-0.228,0.329,0.061
